video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Onyk7guvHK8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UC5aqukzSeAj9etVpQpct88A,Taboo,Stand Up / Stand N Rock #NoDAPL (Official Video),4.5M,7 years,"Hip Hop Caucus, creator of People's Climate Music, has partnered with Taboo, solo Hip Hop artist and member of the Grammy ...",2024-01-29 05:28:01.280023
/watch?v=WFo-kIMtvCo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@seanfeucht,Sean Feucht,Standing on the Rock -  Sean Feucht - Times Square,20K,1 year,Follow Sean: https://www.facebook.com/sean.feucht https://twitter.com/seanfeucht https://www.instagram.com/seanfeucht/ Sign up ...,2024-01-29 05:28:01.284878
/watch?v=2uYiHiJTN6Y&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCr-Od38IMpigVVgRYZ42FqA,I AM THEY,I AM THEY - My Feet Are on the Rock (Official Music Video),4.2M,5 years,"My Feet Are On The Rock"" now! iTunes: http://smarturl.it/TrialAndTriumph?IQid=VEVORockOfficalMusicVideo Amazon: ...",2024-01-29 05:28:01.288479
/watch?v=nlccshLU-Og&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCL7aOpP89MGVXrPu7Pzhhpw,Gaither Music TV,I'm Standing On the Solid Rock (Live),140K,11 years,"Official Video for 'I'm Standing On the Solid Rock (Live)', available now! Buy the full length DVD/CD 'Sunday Meetin' Time' Here: ...",2024-01-29 05:28:01.292003
/watch?v=Czd-VP6dlxA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@bullfrogfilms,Bullfrog Films,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",28K,6 years,"A film by Josh Fox, James Spione, and Myron Dewey Available for educational use from Bullfrog Films: ...",2024-01-29 05:28:01.296423
/watch?v=CAigAI-dZgQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCmVqUKitxpa3e56tcRoU9Mg,Dee Snider,Dee Snider’s Standing Rock Music Video “So What” (UNCENSORED),55K,7 years,This music video documents the Dakota Access Pipeline Protest at Standing Rock. While capturing the police brutality and human ...,2024-01-29 05:28:01.299089
/watch?v=J1yD2J8vHAk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@VICE,VICE,What Really Happened at Standing Rock | I Was There,1M,3 years,"In 2016, indigenous water protectors and their allies gathered at Standing Rock to oppose the construction of the Dakota Access ...",2024-01-29 05:28:01.302702
/watch?v=BqXlLudFQa0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,"The end of the Standing Rock standoff between authorities, protestors",97K,6 years,Protests had been going for months in an attempt to stop the Dakota Access Pipeline from being built next the Sioux tribe's sacred ...,2024-01-29 05:28:08.733273
/watch?v=lhtkz8PBG7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCSBBlaJJ-tk9zg_1VTh0ndw,Zee Ministries,ZEE - Standing On The Rock (Official Music Video),346K,3 years,ZEE - Standing On The Rock (Official Music Video) Subscribe to this channel: ...,2024-01-29 05:28:08.735839
/watch?v=4PLi6s9Wwd4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCj-XmMN_dFcGaB2dWtbbdng,Mike BoneMusic,NoDAPL StandingRock Camp Site with Mike Bone,31K,7 years,"Native American Rappers MikeBoneMusic (as seen on America's Got Talent) travel to Fort Yates, North Dakota to offer their ...",2024-01-29 05:28:08.738254
/watch?v=QFjnudxcfv0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vogue,Vogue,Stories From Standing Rock | Vogue,74K,7 years,"In North Dakota, thousands of Native Americans and allies have joined the Standing Rock Sioux Tribe in a fight to stop the Dakota ...",2024-01-29 05:28:08.740984
/watch?v=1Rz_TkpysKk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,109K,6 years,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2024-01-29 05:28:08.744487
/watch?v=91-Ikju4EBA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@FlocabularyYT,Flocabulary,Flocabulary Visits Standing Rock Schools,16K,6 years,"Flocabulary partnered with Turnaround Arts to bring rap and hip-hop to the classrooms of Standing Rock, North Dakota. Over the ...",2024-01-29 05:28:08.747166
/watch?v=okfEv-PHvUU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@seanfeucht,Sean Feucht,Standing On The Rock - Let Us Worship Live from Philly - Sean Feucht - Meredith Mauldin,10K,1 year,Sean Feucht & Meredith Mauldin sing 'Standing on the Rock' at Let Us Worship Live from Philly! Follow Sean: ...,2024-01-29 05:28:08.749945
/watch?v=E6oVN_mWLpo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@scandinaviahouse,Scandinavia House,End of the Line — The Women of Standing Rock Trailer,1.2K,9 months,"On April 14 at Scandinavia House, see acclaimed documentary filmmaker Shannon Kring's ""The End of the Line: The Women of ...",2024-01-29 05:28:08.752291
/watch?v=4FDuqYld8C8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@dividedfilms2413,Divided Films,Mni Wiconi: The Stand at Standing Rock,314K,7 years,Mni Wiconi features water protectors from the Standing Rock Sioux Tribe and allies trying to stop the 1100-mile Dakota Access ...,2024-01-29 05:28:08.754840
/watch?v=V-T83JD3WMM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@MTVImpact,MTV Impact,"Five Years Later, Standing Rock Continues with New Frontlines | Need To Know",3.4K,1 year,"Could Indigenous tribes get justice from TigerSwan, the private surveillance company hired to infiltrate Standing Rock? And what ...",2024-01-29 05:28:08.758741
/watch?v=wD3-6JIUF7M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TED,TED,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,196K,5 years,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2024-01-29 05:28:16.020280
/watch?v=VTL87q6O6Kw&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@utiseta6247,UTISETA,Sami Women at Standing Rock,66K,7 years,"Sofia Jannok, Inger Biret Kvernmo Gaup. and Sara Marielle Gaup Beaska (members of the Sami tribe) share a joik song for ...",2024-01-29 05:28:16.022878
/watch?v=Vr2zE69jIcQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock and Sioux Nation,9.1K,7 years,Voice Your Opinion & Connect With Us Online: The National Updates on Facebook: https://www.facebook.com/thenational The ...,2024-01-29 05:28:16.026940
/watch?v=LdQ6k_nDWcU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KXNewsND,KX News,Football: Standing Rock Set to Host a Playoff Game for the First Time in a Long Time,196,1 year,Football: Standing Rock Set to Host a Playoff Game for the First Time in a Long Time Stay informed about Western North Dakota ...,2024-01-29 05:28:16.030162
/watch?v=WsiNxhMuHtI&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CalebHyles,Caleb Hyles,I'm Still Standing (SING) - Elton John (Metal Cover by Caleb Hyles),1.5M,2 years,"A metal cover of Elton John's ""I'm Still Standing"" by Caleb Hyles from the movie ""SING"" DOWNLOAD NOW  : ▻iTunes: ...",2024-01-29 05:28:16.033514
/watch?v=qJZ1-LAFOTo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vox,Vox,"The fight over the Dakota Access Pipeline, explained",446K,7 years,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2024-01-29 05:28:16.037251
/watch?v=dl_WDmDiOEU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@kelolandnews,KELOLAND News,Florida man sentenced in Standing Rock Sioux Tribe scheme,330,1 year,"Stay informed about South Dakota news, weather, and sports Follow KELOLAND News on our website and social channels: ...",2024-01-29 05:28:16.040549
/watch?v=LOLu3N_TeVM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCNews,CBC News,Veterans standing up for Standing Rock,31K,7 years,"Connect with CBC News Online: For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX Find CBC News on ...",2024-01-29 05:28:16.045279
/watch?v=Yb9HHtye1Tk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@reveal,Reveal,One Year at Standing Rock,44K,6 years,Jasilyn Charger was one of the first people to set up camp at the Standing Rock Sioux Reservation in April 2016. Along with youth ...,2024-01-29 05:28:16.050015
